Data on Pupils 1 attending primary schools in Northern Ireland 2015/16: SEN data,,,,
DE ref,Schoolname,Special Educational Needs,Code of Practice,(Stage 1 - 5 on code of practice)
3032018,"St Brigid's Primary School, Tirkane",5,29,34
3032104,Ballyhackett Primary School,*,#,10
3032109,New Row Primary School,8,22,30
3032185,St Trea's Primary School,*,#,25
3032197,Knocknagin Primary School,0,10,10
3032202,"St Columba's Primary School, Garvagh",*,#,31
3032205,"St Columb's Primary School, Magherafelt",*,#,10
3032218,Crossroads Primary School,10,9,19
3032231,"St Colum's Primary School, Portstewart",5,20,25
3032246,"St John Bosco Primary School, Ballynease",0,15,15
3032257,Anahorish Primary School,*,#,51
3032268,"St Columba's Primary School, Straw",5,23,28
3032271,St Eoghan's Primary School,*,#,25
3032273,"St Mary's Primary School, Draperstown",6,44,50
3032274,"St John's Primary School, Swatragh",7,35,42
3032275,Greenlough Primary School (St Mary's),*,#,30
3032281,"St Mary's Primary School, Bellaghy",10,57,67
3032285,St Patrick's & St Joseph's Primary School,8,21,29
3032297,"St Malachy's Primary School, Coleraine",*,#,28
3033303,"St Oliver Plunkett Primary School, Antrim",*,#,31
3033304,Tir-na-Nog Primary School,*,#,8
3033313,"St Bernard's Primary School, Newtownabbey",14,80,94
3033317,"St John's Primary School, Carnlough",0,28,28
3033320,"St Patrick's Primary School, Rasharkin",5,33,38
3033326,"St Brigid's Primary School, Ballymoney",24,15,39
3033709,"St John's Primary School, Coleraine",*,#,38
3036026,"St Joseph's Primary School, Crumlin",16,111,127
3036039,"St Mary's Primary School, Glenview",21,44,65
3036046,St Mary's-on-The-Hill Primary School,*,#,80
3036050,"St Joseph's Primary School, Antrim",14,69,83
3036100,"St James' Primary School and Nursery Unit, Newtownabbey",7,49,56
3036103,"St Brigid's Primary School, Knockloughrim",9,31,40
3036131,"St Patrick's Primary School, Glenariffe",*,#,16
3036139,"St Macnissi's Primary School, Newtownabbey",*,#,37
3036147,"St Columba's Primary School, Kilrea",5,54,59
3036154,"St Patrick's Primary School, Loughgiel",5,17,22
3036243,"St Joseph's Primary School, Dunloy",7,30,37
3036268,St Ciaran's Primary School,*,#,6
3036292,"St Patrick's Primary School, Glen",7,23,30
3036559,St Patrick's & St Brigid's Primary School,7,86,93
3036562,"Holy Family Primary School, Magherafelt",19,69,88
3036563,"St Nicholas' Primary School, Carrickfergus",*,#,31
3036575,"St Macnissi's Primary School, Larne",6,40,46
3036666,"St Colmcille's Primary School, Ballymena",7,42,49
3036679,"St Brigid's Primary School, Ballymena",*,#,95
3036683,"St Paul's Primary School, Ahoghill",*,#,35
3036704,Mary Queen of Peace Primary School,6,42,48
3042162,Desertmartin Primary School,0,8,8
3046653,Gaelscoil an Chaistil,0,27,27
3046678,Gaelscoil na Sp?ir?n?,*,#,11
3046684,Gaelscoil Ghleann Darach,0,20,20
3046685,Gaelscoil Eanna,6,9,15
3046691,Gaelscoil an tSeancha?,0,31,31
3050519,Carnlough Controlled Integrated Primary School,*,*,6
3050791,Glengormley Integrated Primary School,9,19,28
3050859,Crumlin Controlled Intergrated Primary School,8,46,54
3050866,Ballymoney Controlled Integrated Primary School,16,57,73
3052071,Carhill Integrated Primary School,*,#,15
3053333,Ballycastle Integrated Primary School,15,34,49
3056231,Six Mile Integrated Primary School,28,20,48
3056248,Round Tower Integrated Primary School,5,69,74
3056708,Mallusk Controlled Integrated Primary School,0,*,*
3066544,Millstrand Integrated Primary School,7,40,47
3066551,Braidside Integrated Primary School,*,#,81
3066561,Corran Integrated Primary School,*,#,42
3066568,Acorn Integrated Primary School,8,38,46
3066613,Spires Integrated Primary School,6,46,52
3066652,Maine Integrated Primary School,*,#,14
4010512,McKinney Primary School Dundrod,*,#,25
4010720,Ballycarrickmaddy Primary School,8,38,46
4010743,Largymore Primary School,8,53,61
4010762,Brownlee Primary School,*,#,54
4010788,Dunmurry Primary School,7,30,37
4010807,Lisburn Central Primary School,9,42,51
4010882,Seymour Hill Primary School,24,57,81
4010885,Tonagh Primary School,10,47,57
4011265,Ballyvester Primary School,*,#,18
4011300,Grey Abbey Primary School,*,#,21
4011310,Carrickmannon Primary School,5,26,31
4011345,Newtownards Model Primary School,7,89,96
4011373,Kirkistown Primary School,*,#,24
4011462,Castle Gardens Primary School,25,44,69
4011488,"Victoria Primary School, Ballyhalbert",6,48,54
4011507,Portavogie Primary School,6,41,47
4011566,Ballywalter Primary School,5,27,32
4011567,Ballynahinch Primary School,9,42,51
4011578,Derryboy Primary School,*,#,16
4011584,Carr Primary School,*,#,20
4011587,Dundonald Primary School,23,114,137
4011588,Comber Primary School,13,77,90
4011599,Castlewellan Primary School,10,16,26
4011606,Gilnahirk Primary School,13,68,81
4011608,Anahilt Primary School,8,30,38
4011619,Dromara Primary School,6,32,38
4011631,Holywood Primary School,6,91,97
4011632,Cregagh Primary School,24,39,63
4011645,Crawfordsburn Primary School,9,41,50
4011646,"Victoria Primary School, Newtownards",19,94,113
4011650,Ballyholme Primary School,15,101,116
4011654,Donaghadee Primary School,5,47,52
4011657,Lisnasharragh Primary School,10,61,71
4011670,Clandeboye Primary School,7,58,65
4011674,Knockbreda Primary School,33,30,63
