DE ref,school name,nursery pupils,reception pupils,year 1,year 2,year 3,year 4,year 5,year 6,year 7,total enrolment
3010822,Groggan Primary School,0,0,19,17,18,18,19,20,19,130
3010825,Carnaghts Primary School,0,0,12,18,21,10,16,16,17,110
3010826,The Diamond Primary School,0,0,21,19,17,21,17,23,23,141
3010827,Whitehouse Primary School,52,0,58,57,59,58,60,60,57,461
3010828,Kilbride Primary School,0,0,18,24,21,22,16,20,19,140
3010829,Antrim Primary School,0,0,90,84,90,90,88,86,78,606
3010834,Clough Primary School,26,0,23,18,15,19,23,21,23,168
3010835,Kells & Connor Primary School,0,0,29,26,23,27,29,26,29,189
3010841,Carrickfergus Central Primary School,0,0,13,6,11,11,12,8,15,76
3010842,The William Pinkerton Memorial Primary School,0,0,11,12,10,17,13,18,10,91
3010846,Whiteabbey Primary School,0,0,56,61,60,56,60,61,57,411
3010847,Portrush Primary School,0,0,22,35,28,26,29,21,28,189
3010850,Upper Ballyboley Primary School,0,3,4,5,8,7,5,5,5,42
3010860,Sunnylands Primary School,0,0,28,31,24,18,19,21,26,167
3010862,Abbots Cross Primary School,0,0,44,53,45,48,48,36,41,315
3010870,Moyle Primary School,52,0,56,40,50,58,47,52,52,407
3010873,Bushmills Primary School,26,0,15,15,11,9,14,9,12,111
3010874,Whitehead Primary School,52,0,62,57,49,53,60,51,60,444
3010875,Ballymena Primary School,0,0,37,47,39,40,47,48,38,296
3010878,Kilmoyle Primary School,16,0,7,14,12,5,9,11,7,81
3010879,Straidhavern Primary School,0,0,8,9,8,5,8,7,7,52
3010880,"Kings Park Primary School, Newtownabbey",0,0,58,60,59,60,57,43,56,393
3010883,Linn Primary School,52,0,59,51,46,49,52,52,52,413
3010891,Fourtowns Primary School,0,0,42,40,43,43,45,44,37,294
3010892,Ballytober Primary School,0,0,8,17,4,16,10,11,21,87
3010893,Knockahollet Primary School,0,0,14,11,13,13,12,20,13,96
3010895,Rathcoole Primary School,52,0,15,6,7,14,10,11,10,125
3012049,Carnalridge Primary School,0,0,23,31,21,27,42,26,14,184
3012065,Culcrow Primary School,0,0,14,14,12,19,13,14,13,99
3012225,Damhead Primary School,0,0,30,27,31,31,27,30,30,206
3012229,Hezlett Primary School,0,11,38,37,29,40,38,30,25,248
3012233,Tobermore Primary School,0,0,5,12,2,11,2,11,9,52
3012234,Ampertaine Primary School,0,0,12,22,18,21,19,18,16,126
3012237,"Killowen Primary School, Coleraine",0,0,32,28,28,32,26,30,25,201
3012250,Portstewart Primary School,26,0,32,39,27,39,41,38,36,278
3012264,Millburn Primary School,0,0,53,37,50,53,60,59,39,351
3012267,Magherafelt Controlled Primary School,0,0,33,32,46,42,28,34,27,242
3012269,Kilrea Primary School,0,0,17,17,13,12,13,9,9,90
3012282,Culnady Primary School,0,0,4,4,1,4,4,3,6,26
3012284,D H Christie Memorial Primary School,0,0,63,52,59,63,61,60,67,425
3012288,Castleroe Primary School,0,0,16,14,19,15,15,17,14,110
3012290,Bellaghy Primary School,0,0,3,11,10,9,6,13,3,55
3012291,Maghera Primary School,0,0,8,15,16,18,14,9,20,100
3013301,Carnmoney Primary School,0,0,60,59,59,58,58,61,53,408
3013310,Broughshane Primary School,30,0,29,52,56,49,36,52,35,339
3013315,Ballykeel Primary School,54,0,57,49,57,51,58,56,51,433
3013322,Camphill Primary School,0,0,58,56,60,53,54,58,53,392
3013323,Mossgrove Primary School,51,0,40,43,35,32,38,31,25,295
3013325,Leaney Primary School,0,0,45,39,47,36,48,40,27,282
3013330,"Victoria Primary School, Carrickfergus",52,0,62,43,56,60,63,57,71,464
3013331,Ballycraigy Primary School,0,0,22,23,18,21,23,15,18,140
3013332,Toreagh Primary School,0,0,11,15,13,7,20,15,21,102
3013700,Macosquin Primary School,0,0,30,28,43,27,31,17,28,204
3013703,Kilross Primary School,0,0,3,5,8,6,9,3,6,40
3013704,Castledawson Primary School,0,0,15,14,12,15,13,10,15,94
3016005,Silverstream Primary School,26,0,14,19,18,20,10,20,17,144
3016014,Templepatrick Primary School,52,0,55,62,60,58,62,58,49,456
3016015,Mossley Primary School,0,0,88,87,88,91,89,90,89,622
3016037,Greystone Primary School,0,0,30,23,28,26,33,32,25,197
3016038,Hollybank Primary School,0,0,23,16,27,16,22,17,22,143
3016040,Armoy Primary School,0,0,15,15,13,14,7,13,12,89
3016052,Harpurs Hill Primary School,26,0,27,31,27,26,27,29,27,220
3016055,Gorran Primary School,0,0,10,11,8,13,11,20,8,81
3016058,Parkhall Primary School,0,0,23,28,27,25,46,20,33,202
3016063,Dunclug Primary School,0,0,10,10,3,10,12,12,10,67
3016119,Garvagh Primary School,0,2,8,8,6,14,13,13,15,79
3016125,Rasharkin Primary School,0,0,7,16,10,10,11,6,11,71
3016129,Carniny Primary School,0,0,38,43,39,35,42,50,40,287
3016170,Ballyhenry Primary School,0,0,30,20,24,27,21,19,18,159
3016225,Woodlawn Primary School,0,0,40,21,45,45,46,28,42,267
3016244,Ashgrove Primary,0,0,42,47,57,52,56,59,44,357
3016249,Earlview Primary,26,0,29,30,26,30,25,29,29,224
3016252,Ballysally Primary School,0,0,51,43,35,48,27,31,31,266
3016257,Oakfield Primary School,52,0,39,37,47,29,40,37,47,328
3016260,Cloughmills Primary School,0,0,8,13,9,10,16,5,4,65
3016264,Irish Society's Primary School,52,0,38,25,32,28,42,40,42,299
3016269,Cairncastle Primary School,0,0,11,12,20,18,13,19,22,115
3016283,Knockloughrim Primary School,0,0,13,15,19,16,18,14,16,111
3016414,Fairview Primary School,0,0,69,69,79,80,81,80,73,531
3016440,Portglenone Primary School,0,0,22,19,18,17,12,6,24,118
3016444,Hazelbank Primary School,0,0,17,14,23,10,16,18,16,114
3016447,Balnamore Primary School,0,0,14,12,14,14,14,15,20,103
3016594,Bushvalley Primary School,0,0,22,21,20,17,25,14,25,144
3016705,Islandmagee Primary School,0,0,17,15,13,22,13,18,11,109
3030434,Creggan Primary School,0,0,19,18,15,16,15,20,14,117
3030438,Millquarter Primary School,0,0,18,20,20,19,19,19,20,135
