DE ref,Schoolname,male,female,total pupils
4011310,Carrickmannon Primary School,51,52,103
4011345,Newtownards Model Primary School,210,200,410
4011373,Kirkistown Primary School,44,37,81
4011462,Castle Gardens Primary School,141,114,255
4011488,"Victoria Primary School, Ballyhalbert",78,63,141
4011507,Portavogie Primary School,146,115,261
4011566,Ballywalter Primary School,90,78,168
4011567,Ballynahinch Primary School,108,112,220
4011578,Derryboy Primary School,42,39,81
4011584,Carr Primary School,36,34,70
4011587,Dundonald Primary School,437,409,846
4011588,Comber Primary School,183,205,388
4011599,Castlewellan Primary School,28,23,51
4011606,Gilnahirk Primary School,214,208,422
4011608,Anahilt Primary School,73,68,141
4011619,Dromara Primary School,88,93,181
4011631,Holywood Primary School,228,230,458
4011632,Cregagh Primary School,92,86,178
4011645,Crawfordsburn Primary School,107,103,210
4011646,"Victoria Primary School, Newtownards",280,280,560
4011650,Ballyholme Primary School,338,290,628
4011654,Donaghadee Primary School,230,229,459
4011657,Lisnasharragh Primary School,161,173,334
4011670,Clandeboye Primary School,159,172,331
4011674,Knockbreda Primary School,91,104,195
4011681,Millisle Primary School,115,112,227
4011683,Braniel Primary School,213,224,437
4011698,Newcastle Primary School,90,97,187
4011699,Moneyrea Primary School,105,104,209
4013013,Belvoir Park Primary School,162,134,296
4013023,Bloomfield Primary School,225,222,447
4013024,Cairnshill Primary School,255,289,544
4013038,Tullycarnet Primary School,20,26,46
4013043,Lead Hill Primary School,76,64,140
4013044,Carryduff Primary School,116,87,203
4013045,Grange Park Primary School,212,198,410
4013046,Alexander Dickson Primary School,45,40,85
4013305,"Harmony Hill Primary School, Lisburn",333,299,632
4013334,Knockmore Primary School,117,75,192
4016002,Kilcooley Primary School,82,96,178
4016004,Londonderry Primary School,195,201,396
4016020,Carrowdore Primary School,79,97,176
4016067,Rathmore Primary School,328,311,639
4016083,West Winds Primary School,94,92,186
4016104,Moira Primary School,199,207,406
4016111,Towerview Primary School,224,206,430
4016123,Spa Primary School,90,96,186
4016126,Andrews Memorial Primary School,172,162,334
4016144,Old Warren Primary School,79,80,159
4016145,"Killowen Primary School, Lisburn",236,228,464
4016192,Kilmaine Primary School,349,329,678
4016201,Academy Primary School,203,244,447
4016202,Ballinderry Primary School,137,115,252
4016235,Downpatrick Primary School,112,101,213
4016396,Killinchy Primary School,178,180,358
4016399,Abbey Primary School,313,285,598
4016401,Pond Park Primary School,326,295,621
4016417,Maghaberry Primary School,145,130,275
4016430,Ballymagee Primary School,217,211,428
4016441,Ballymacash Primary School,224,211,435
4016503,Brooklands Primary School,302,254,556
4016615,Riverdale Primary School,106,100,206
4016636,Meadow Bridge Primary School,158,131,289
4016649,"Downshire Primary School,Hillsborough",345,304,649
4016650,Cumran Primary School,105,87,192
4016681,Glasswater Primary School,51,46,97
4030573,Ballymacward Primary School,36,30,66
4030823,Ballymacrickett Primary School,204,189,393
4030897,"St Joseph's Primary School, Lisburn",190,195,385
4031231,"St Joseph's Primary School, Ballycruttle",23,30,53
4031328,"Christ The King Primary School, Ballynahinch",57,55,112
4031350,"St Malachy's Primary School, Kilclief",32,43,75
4031485,St Caolan's Primary School,32,35,67
4031526,"St Patrick's Primary School, Saul",91,92,183
4031531,"St Francis' Primary School, Drumaroad",52,42,94
4031550,"St Joseph's Primary School, Crossgar",38,51,89
4031628,"St Patrick's Primary School, Holywood",152,143,295
4031660,"St Joseph's Primary School, Carryduff",244,239,483
4031662,"St Mary's Primary School, Comber",37,34,71
4031663,"St Joseph's Primary School, Carnacaville",106,89,195
4031665,"St Patrick's Primary School, Ballynahinch",146,136,282
4031671,"St Patrick's Primary School, Castlewellan",32,37,69
4031672,"St Mary's Primary School, Saintfield",34,23,57
4031673,"St Mary's Primary School, Ardglass",43,40,83
4031676,"St Bernard's Primary School, Belfast",228,201,429
4033002,"St Mary's Primary School, Aughlisnafin",80,87,167
4033005,"St Joseph's Primary School, Strangford",37,19,56
4033007,"St Macartan's Primary School, Downpatrick",101,96,197
4033008,"St Anne's Primary School, Donaghadee",23,20,43
4033012,The Holy Family Primary School,97,102,199
4033017,St Finian's Primary School,64,77,141
4033028,"St Patrick's Primary School, Portaferry",57,58,115
4033036,"St Mary's Primary School, Killyleagh",41,44,85
4033037,"St Joseph's Primary School, Tyrella",45,35,80
4033040,"St Brigid's Primary School, Downpatrick",124,154,278
4033306,St Aloysius Primary School,218,226,444
4033307,"St Colman's Primary School, Lisburn",210,185,395
4036016,"St Joseph's Primary School, Killough",27,32,59
4036036,"St Malachy's Primary School, Kilcoo",96,77,173
4036113,"St Nicholas' Primary School, Ardglass",62,61,123
4036133,"Sacred Heart Primary School, Dundrum",21,22,43
4036146,"St Comgall's Primary School, Bangor",164,145,309
4036148,"St Malachy's Primary School, Bangor",220,210,430
4036182,"St Colmcille's Primary School, Downpatrick",115,99,214
4036285,The Good Shepherd Primary School,167,144,311
4036428,"St Mary's Primary School, Kircubbin",78,76,154
4036454,"St Malachy's Primary School, Castlewellan",197,178,375
4036455,"St Patrick's Primary School, Legamaddy",75,76,151
4036480,St Kieran's Primary School,207,200,407
4036530,"St Mary's Primary School, Portaferry",105,100,205
4036591,Our Lady Queen of Peace Primary School,213,195,408
4036618,Christ the Redeemer Primary School,327,352,679
4036635,"St Mary's Primary School, Newcastle",208,204,412
4036642,St Ita's Primary School,330,331,661
4036693,Our Lady and St Patrick Primary School,241,225,466
4036702,Holy Evangelist Primary School,306,279,585
4046600,Scoil na Fuiseoige,60,72,132
4046648,Bunscoil Bheanna Boirche,46,52,98
4051569,Kircubbin Integrated Primary School,110,94,204
4051601,Portaferry Integrated Primary School,26,37,63
4051680,Bangor Central Integrated Primary School,299,308,607
4053009,Annsborough Primary School,20,19,39
4053020,Glencraig Integrated Primary School,109,106,215
4053308,Fort Hill Integrated Primary School,119,112,231
4056541,All Childrens Integrated Primary School,100,109,209
4056709,Killyleagh Primary School,44,55,99
4056710,Loughries Primary School,33,38,71
4066579,Loughview Integrated Primary School,244,223,467
4066588,Cedar Integrated Primary School,116,99,215
4066611,Oakwood Integrated Primary School,113,88,201
