DE ref,Schoolname,total enrolment,fsme,free school meals
3016257,Oakfield Primary School,328,100,30.50%
3016260,Cloughmills Primary School,65,20,30.80%
3016264,Irish Society's Primary School,299,47,15.70%
3016269,Cairncastle Primary School,115,14,12.20%
3016283,Knockloughrim Primary School,111,14,12.60%
3016414,Fairview Primary School,531,107,20.20%
3016440,Portglenone Primary School,118,33,28.00%
3016444,Hazelbank Primary School,114,15,13.20%
3016447,Balnamore Primary School,103,36,35.00%
3016594,Bushvalley Primary School,144,36,25.00%
3016705,Islandmagee Primary School,109,29,26.60%
3030434,Creggan Primary School,117,12,10.30%
3030438,Millquarter Primary School,135,10,7.40%
3030547,"St Patrick's Primary School, Portrush",79,27,34.20%
3030588,"St Mary's Primary School, Rathlin",10,*,*
3030621,"St Mary's Primary School, Portglenone",222,49,22.10%
3030688,Mount St Michael's Primary School,471,108,22.90%
3030708,Glenann Primary School,68,17,25.00%
3030719,St Olcan's Primary School,80,11,13.80%
3030800,Barnish Primary School,45,7,15.60%
3030815,Moneynick Primary School,63,9,14.30%
3030832,"St Comgall's Primary School, Antrim",534,63,11.80%
3030848,St Macnisius' Primary School,35,*,*
3030890,"St Brigid's Primary School, Cloughmills",69,15,21.70%
3030894,"St Mary's Primary School, Cushendall",182,42,23.10%
3030898,"St Anne's Primary School, Ballymena",64,12,18.80%
3030899,"Seaview Primary School, Glenarm",40,15,37.50%
3030900,"St Anthony's Primary School, Larne",101,46,45.50%
3032018,"St Brigid's Primary School, Tirkane",205,44,21.50%
3032104,Ballyhackett Primary School,44,21,47.70%
3032109,New Row Primary School,174,25,14.40%
3032185,St Trea's Primary School,114,20,17.50%
3032197,Knocknagin Primary School,63,10,15.90%
3032202,"St Columba's Primary School, Garvagh",104,22,21.20%
3032205,"St Columb's Primary School, Magherafelt",87,10,11.50%
3032218,Crossroads Primary School,121,19,15.70%
3032231,"St Colum's Primary School, Portstewart",177,28,15.80%
3032246,"St John Bosco Primary School, Ballynease",120,14,11.70%
3032257,Anahorish Primary School,175,28,16.00%
3032268,"St Columba's Primary School, Straw",186,29,15.60%
3032271,St Eoghan's Primary School,121,24,19.80%
3032273,"St Mary's Primary School, Draperstown",218,50,22.90%
3032274,"St John's Primary School, Swatragh",206,33,16.00%
